the_geom,Length,SegmentID,Width,Rating_B,RatingWord,Shape_len,Merged3.FID,Merged3.Street,Theft_rate,Subway,Rest,Graf,Theft_predicted
"LINESTRING (-74.1539171283526 40.61759380189505, -74.15577653232788 40.61792341763034)",600,8466,30,9,GOOD,529.9971698,6014,EAST DRIVE,0,0,0,0,0.05
"LINESTRING (-74.1537527010838 40.61814298126971, -74.1532566679227 40.61859927986409)",215,8467,30,7,FAIR,215.8703314,6015,97 ST TRANSVERSE,0,0,0,0,0.05
"LINESTRING (-74.1532566679227 40.61859927986409, -74.15271388894573 40.61909406554414)",259,8468,30,7,FAIR,234.9489306,6016,HARLEM RIVER DRIVEWAY,0,0,0,0,0.05
"LINESTRING (-74.15271388894573 40.61909406554414, -74.15218542271688 40.619550402533065)",222,8469,30,7,FAIR,221.73182,6017,WEST 39 STREET,0,0,0,0,0.05
"LINESTRING (-74.15260590832433 40.61755437811858, -74.15266435075796 40.61746825297215, -74.15271947392027 40.61738086685356, -74.15277123116302 40.61729229302412, -74.15281957704356 40.61720260657323, -74.15286447092697 40.617111884413504, -74.1529058745803 40.61702020345415, -74.15294375457819 40.6169276424276, -74.15297807629102 40.6168342782377, -74.15300881230424 40.616740192353106, -74.15303606444368 40.616645278509)",328,8470,32.17,8,GOOD,353.3162639,6018,BARUCH DRIVE,1,0,0,0,0.05
"LINESTRING (-74.15260590832433 40.61755437811858, -74.1539171283526 40.61759380189505)",331,8471,30,9,GOOD,364.3089348,6019,GRAND STREET,0,0,0,0,0.05
"LINESTRING (-74.15364501232696 40.6198696021489, -74.15429208001882 40.61930056268601)",237,8472,60.08,7,FAIR,274.3155118,6020,EDGAR STREET,0,0,0,0,0.05
"LINESTRING (-74.15364501232696 40.6198696021489, -74.15271388894573 40.61909406554414)",361,8473,30,7,FAIR,382.9529997,6021,CATHEDRAL PARKWAY,0,0,0,0,0.05
"LINESTRING (-74.15357307102971 40.61991361501554, -74.15364501232696 40.6198696021489)",55,8475,60.08,7,FAIR,25.61249695,6022,EAST 31 STREET,0,0,0,0,0.05
"LINESTRING (-74.15299755611073 40.62027395068335, -74.15218542271688 40.619550402533065)",347,8477,30,7,FAIR,346.8731757,6023,LAFAYETTE STREET,0,0,1,0,0.105
